ign,ACS,K,D,A,HS%,Ace
GacherDaleCrow2#2291,105,6,17,2,0.21,0
Kobiraj#bhai,348,23,14,1,0.13,0
Mo Sami#LFC,129,6,18,6,0.12,0
potetu#69420,146,9,16,3,0.23,0
,910,,,,,
G11,1354,,,,,
Sacred Blitz,ACS,K,D,A,HS%,Ace
nyX#SBZ,265,13,3,3,0.34,0
PETER#DDD,203,10,2,5,0.19,0
rrohitrajj#0307,427,21,5,1,0.25,0
In Vain#leaf,172,9,0,1,0.21,0
susfarus#DEER,287,13,4,7,0.26,0
Vengeance,ACS,K,D,A,HS%,Ace
Nazmul4532#7622,16,1,13,0,0.00,0
SEN coLd#2402,60,2,13,0,0.25,0
TamimAfnan148#6212,60,1,13,1,0.05,0
Xe9o9#2640,157,7,13,1,0.13,0
Zappyy#9596,93,3,14,0,0.10,0
,386,,,,,
,,,,,,
G3,1215,,,,,
SuppNigg,ACS,K,D,A,HS%,Ace
advancE#2803,190,10,17,3,0.16,0
Cyanite#3064,364,20,13,6,0.19,0
R4NDOM#F0FF,78,5,12,5,0.29,0
Raven#NOIR,274,19,8,3,0.28,0
Simpslayer78#SHAMS,309,19,11,8,0.23,0
Sigma Trash,ACS,K,D,A,HS%,Ace
ST Bungamia#unga,296,16,15,8,0.30,0
ST Mechalord#KDR0,218,12,16,4,0.21,0
ST razmac#0013,156,11,12,0,0.30,0
ST Sayonara#bruuh,141,9,16,2,0.13,0
warDamn#robi,223,13,14,4,0.23,0
,1034,,,,,
,,,,,,
G18,1255,,,,,
Team Shukna,ACS,K,D,A,HS%,Ace
iNates#1321,218,13,8,2,0.07,0
Joker Vai#4401,251,15,12,7,0.16,0
m0nster#2711,391,22,9,6,0.22,0
Polti Girl#soHot,201,11,10,4,0.13,0
PoltiMar#6468,194,12,8,1,0.13,0
Team Cruise,ACS,K,D,A,HS%,Ace
az1r#4603,150,10,14,1,0.08,0
BooterDaal#0000,138,7,14,2,0.24,0
MissRomanoff#6700,97,5,14,3,0.09,0
Shouvikius#1350,332,16,15,2,0.13,0
UNICORN4O4#BOT,197,9,16,5,0.12,0
,914,,,,,
G14,1260,,,,,
God Of Whiffs,ACS,K,D,A,HS%,ace
PortgazDAdzz#AD969,337,22,9,10,0.16,0
ItznotHawk#6912,285,19,7,0,0.39,0
Alucard#kappa,284,14,14,11,0.17,0
ssdian#Hmmm,234,15,11,2,0.15,0
putuputu37#1337,120,8,11,6,0.23,0
Team Shukna,ACS,K,D,A,HS%,ace
Joker Vai#4401,427,24,16,0,0.37,0
Polti Girl#soHot,175,8,16,6,0.19,0
m0nster#2711,143,8,17,4,0.05,0
iNates#1321,122,6,14,5,0.29,0
PoltiMar#6468,113,6,15,7,0.11,0
,980,,,,,
,,,,,,
G21,948,,,,,
Random Bullsh1ts Go,ACS,K,D,A,HS%,ace
BakedMako#9028,250,20,18,1,0.31,0
BlitZZ03#8883,210,14,16,2,0.18,0
GL47 Rew#blank,178,12,17,6,0.25,0
MeKimous#7292,164,11,18,7,0.18,0
FreaxX#SADAT,146,11,17,2,0.21,0
PleaseDontBully,ACS,K,D,A,HS%,ace
inv1ctus#ONE,317,26,13,4,0.2,0
KingOfTheStorm#gwyn,229,16,14,5,0.21,0
mamaninmalaysia#7951,205,15,11,5,0.2,0
Heisenberg#FEAR,204,15,13,6,0.21,0
SHresTho12#nice,201,14,17,6,0.1,0
,1156,,,,,
,,,,,,
G5,1198,,,,,
Chakri Lagbe,ACS,K,D,A,HS%,ace
SheikhMujib#1975,404,26,9,5,0.21,0
YaBoiJawed#3898,238,16,9,4,0.26,0
AceX#bojji,222,13,11,5,0.16,0
ch1orine#Ctrl,189,12,10,2,0.1,0
RaKuSh0na#AHAH,145,8,12,9,0.17,0
SuppNigg,ACS,K,D,A,HS%,ace
Raven#NOIR,303,16,13,5,0.28,0
advancE#2803,220,13,16,2,0.13,1
Cyanite#3064,184,10,15,7,0.11,0
R4NDOM#F0FF,148,8,16,4,0.52,0
SEN LADEN#1788,98,4,15,7,0.14,0
,953,,,,,
,,,,,,
G24,972,,,,,
North Boyz,ACS,K,D,A,HS%,ace
shelby#ayhay,260,21,18,5,0.16,0
Bruh#6412,259,21,19,5,0.24,0
Neutron Glitch#peeps,168,13,15,6,0.14,0
sanz47#void,145,12,15,4,0.02,0
JohnReese#3312,140,11,17,2,0.27,0
Random Bullsh1ts Go,ACS,K,D,A,HS%,ace
BakedMako#9028,260,22,14,6,0.18,0
FreaxX#SADAT,254,17,19,9,0.16,0
BlitZZ03#8883,249,20,15,4,0.18,0
GL47 Rew#blank,207,16,15,5,0.28,0
MeKimous#7292,94,9,15,8,0.22,0
,1064,,,,,
,,,,,,
G19,820,,,,,
Random Bullsh1ts Go,ACS,K,D,A,HS%,ace
BakedMako#9028,256,14,13,1,0.23,0
GL47 Rew#blank,237,12,14,1,0.3,0
BlitZZ03#8883,153,6,15,1,0.21,0
FreaxX#SADAT,138,5,15,3,0.16,0
MeKimous#7292,36,2,14,1,0.25,0
Team RushB,ACS,K,D,A,HS%,ace
CPX Vainn#GNRC,360,18,9,11,0.16,0
CPX sinner#GNRC,319,17,6,6,0.22,0
CPX forb1dden#GNRC,252,15,7,7,0.2,0
JoeMama#beach,245,13,10,5,0.26,0
Riivide#Aloo,145,8,7,8,0.16,0
,1321,,,,,
,,,,,,
G12,1090,,,,,
Unga Bunga,ACS,K,D,A,HS%,ace
SAM FISHER#6725,402,32,17,5,0.28,0
GiantPetuk#1234,234,18,17,5,0.19,0
spyC#999,214,17,13,7,0.15,0
DR4GON1TE#NATSU,136,10,11,2,0.18,0
ChoccyMilk#2305,104,8,19,6,0.11,0
Hum Heke Uthlam,ACS,K,D,A,HS%,ace
UffDoDo#4867,271,20,16,7,0.28,0
feral#ghoul,243,20,16,6,0.16,0
OwO Brother#7980,210,15,16,4,0.28,0
BonKerZ#1963,140,11,18,4,0.37,0
Enigma#exe,137,11,19,4,0.15,0
,1001,,,,,
,,,,,,
G15,1161,,,,,
God of Whiffs,ACS,K,D,A,HS%,ace
Alucard#kappa,377,23,11,5,0.32,0
PortgazDAdzz#AD969,216,12,8,2,0.22,0
ssdian#Hmmm,208,14,10,1,0.07,0
ItznotHawk#6912,190,13,8,4,0.3,0
putuputu37#1337,170,10,9,4,0.17,0
Team Cruise,ACS,K,D,A,HS%,ace
az1r#4603,286,16,13,0,0.03,0
Shouvikius#1350,254,14,14,0,0.09,0
UNICORN4O4#BOT,139,7,14,4,0.16,0
BooterDaal#0000,110,6,15,3,0.13,0
MissRomanoff#6700,51,3,16,0,0.2,0
,840,,,,,
G2,975,,,,,
MadNoobs,ACS,K,D,A,HS%,Ace
Daichi#1998,314,28,22,4,0.16,0
embersaw#surf,233,23,21,4,0.41,0
Limbo X016#2338,197,17,19,8,0.27,0
Doctorcool59#M007,128,10,18,7,0.1,0
pinocchio#06014,103,10,19,1,0.17,0
SuppNigg,ACS,K,D,A,HS%,Ace
advancE#2803,326,26,22,10,0.09,0
R4NDOM#F0FF,207,19,17,5,0.31,0
Raven#NOIR,202,20,16,3,0.35,0
Simpslayer78#SHAMS,195,18,18,5,0.23,0
SEN LADEN#1788,166,16,15,4,0.13,0
,1096,,,,,
,,,,,,
G8,357,,,,,
Vengeance,ACS,K,D,A,HS%,Ace
SEN coLd#2402,142,6,13,2,0.15,0
Zappyy#9596,66,2,15,3,0.14,0
Xe9o9#2640,61,2,14,2,0.14,0
Nazmul4532#7622,54,2,12,0,0,0
TamimAfnan148#6212,34,1,14,0,0,0
Unga Bunga,ACS,K,D,A,HS%,Ace
SAM FISHER#6725,444,22,5,5,0.29,0
DR4GON1TE#NATSU,350,18,1,8,0.19,0
spyC#999,198,10,1,4,0.19,0
ChoccyMilk#2305,188,11,4,1,0.18,0
NightHawk#ACE,133,7,3,5,0.13,0
,1313,,,,,
,,,,,,
G30,544,,,,,
Drudge'20,ACS,K,D,A,HS%,Ace
Fahim Muntasir#4443,188,8,14,1,0.13,0
Tzeyyy#0720,181,7,13,2,0.11,0
GenX ShabZx9#ShabZ,73,2,13,3,0.1,0
WazihTaosik#4724,62,2,13,1,0.07,0
PriTOMATO#2303,40,2,13,1,0.08,0
Chillbros,ACS,K,D,A,HS%,Ace
MrSkylight#9790,519,26,7,5,0.14,2
skywalker07#5215,345,17,4,3,0.13,1
Blackdoom#5531,186,10,4,3,0.07,0
Red1Ralph#7066,134,7,3,9,0.21,0
ChillBr0#4804,113,6,3,1,0.15,0
,1297,,,,,
,,,,,,
G31,860,,,,,
BDSM gSports,ACS,K,D,A,HS%,Ace
BDSM Migrant56#itsok,236,13,15,4,0.14,0
Faiyaz#1717,190,10,14,4,0.2,0
BDSM jinn#BDSM,152,8,16,1,0.23,0
